iter	RMSE
0	9.206018038
1	8.883653186
2	8.581102469
3	8.2861725
4	8.008022939
5	7.738702746
6	7.479794409
7	7.244155319
8	7.012778695
9	6.794268748
10	6.592349795
11	6.398660104
12	6.208376686
13	6.015906819
14	5.839201477
15	5.665379803
16	5.509675885
17	5.357821061
18	5.221337896
19	5.081977614
20	4.946410412
21	4.822862672
22	4.705615209
23	4.601008089
24	4.501699406
25	4.384788188
26	4.278641088
27	4.188020255
28	4.106761126
29	4.025324168
30	3.944211128
31	3.86333932
32	3.789457677
33	3.717304737
34	3.658454011
35	3.601534389
36	3.542523153
37	3.484266648
38	3.425029221
39	3.375325759
40	3.330864937
41	3.287742103
42	3.238992844
43	3.20086399
44	3.160030738
45	3.123191076
46	3.085739854
47	3.053960478
48	3.021522995
49	2.987738359
50	2.965589528
51	2.937863521
52	2.907951763
53	2.88321399
54	2.860449666
55	2.838918803
56	2.817020077
57	2.793101937
58	2.767214561
59	2.745102455
60	2.725568885
61	2.711948211
62	2.695837235
63	2.679185697
64	2.665652733
65	2.650294111
66	2.635780719
67	2.619083987
68	2.606347839
69	2.595083034
70	2.582390095
71	2.56968341
72	2.558369856
73	2.550472502
74	2.533369052
75	2.519254765
76	2.512352801
77	2.50081513
78	2.492035097
79	2.485717055
80	2.477489248
81	2.465980803
82	2.456575588
83	2.446294109
84	2.438886139
85	2.432300524
86	2.422268094
87	2.414378511
88	2.407753199
89	2.400555222
90	2.393139475
91	2.38661866
92	2.377832366
93	2.370620933
94	2.364682331
95	2.357660032
96	2.351484336
97	2.346411041
98	2.340372523
99	2.332531062
100	2.327557093
101	2.322937848
102	2.318126771
103	2.314280194
104	2.306188047
105	2.299201662
106	2.294034705
107	2.287214023
108	2.28166075
109	2.27621332
110	2.271217552
111	2.267828672
112	2.264289477
113	2.256836376
114	2.254130868
115	2.251383338
116	2.247481963
117	2.242576601
118	2.23762466
119	2.229477717
120	2.225005234
121	2.220542471
122	2.215347375
123	2.2116157
124	2.20630777
125	2.201517605
126	2.197333539
127	2.193163005
128	2.185782558
129	2.181985444
130	2.177382174
131	2.173777599
132	2.169603531
133	2.164843966
134	2.162036956
135	2.158764475
136	2.155712969
137	2.150001399
138	2.146155146
139	2.138869719
140	2.130707912
141	2.126344405
142	2.121555429
143	2.11709148
144	2.112436508
145	2.108937338
146	2.104742912
147	2.100032533
148	2.093823723
149	2.091016927
150	2.086443704
151	2.083310527
152	2.077447694
153	2.068142092
154	2.062008716
155	2.060017507
156	2.055302057
157	2.050365955
158	2.047289893
159	2.042983037
160	2.038537082
161	2.034757355
162	2.031000488
163	2.027122431
164	2.023711543
165	2.019259784
166	2.016416319
167	2.013568968
168	2.006908421
169	2.00430268
170	2.001491625
171	1.997977706
172	1.992168472
173	1.987287207
174	1.984303685
175	1.981004007
176	1.976380442
177	1.973653854
178	1.970413899
179	1.964097998
180	1.958218519
181	1.955041992
182	1.951744472
183	1.948681847
184	1.941878238
185	1.935570274
186	1.928769122
187	1.925466506
188	1.923608398
189	1.917012209
190	1.913175037
191	1.908122215
192	1.904399478
193	1.901498838
194	1.8958711
195	1.891563995
196	1.887727165
197	1.884410658
198	1.879207222
199	1.876798291
200	1.872717574
201	1.868775003
202	1.863548782
203	1.861291684
204	1.858482458
205	1.855689267
206	1.849777932
207	1.847621141
208	1.843725397
209	1.83930955
210	1.834420201
211	1.8307773
212	1.826456281
213	1.824034465
214	1.822024103
215	1.819086517
216	1.816296139
217	1.814261039
218	1.809512193
219	1.804956335
220	1.802620121
221	1.798272243
222	1.794989773
223	1.790352289
224	1.786635145
225	1.78399919
226	1.780633611
227	1.778599773
228	1.773268211
229	1.769202181
230	1.76630034
231	1.762253053
232	1.758738499
233	1.754747804
234	1.751796429
235	1.749558623
236	1.74786668
237	1.745312958
238	1.743082212
239	1.739692706
240	1.736692733
241	1.733039156
242	1.730952947
243	1.727389941
244	1.725621456
245	1.723037359
246	1.718887
247	1.716626712
248	1.713258484
249	1.710086116
250	1.706517454
251	1.704357305
252	1.70187086
253	1.698258685
254	1.694746153
255	1.691630303
256	1.689480633
257	1.685570871
258	1.682566249
259	1.679423582
260	1.677691476
261	1.675408056
262	1.672753076
263	1.670069186
264	1.666531767
265	1.664239552
266	1.662372896
267	1.659940962
268	1.656444217
269	1.652756909
270	1.64993814
271	1.647138367
272	1.64520837
273	1.641518018
274	1.640080241
275	1.637930568
276	1.636048245
277	1.633731714
278	1.631172803
279	1.628918093
280	1.626614013
281	1.625211473
282	1.621993342
283	1.619312874
284	1.616841746
285	1.614854811
286	1.612481494
287	1.60946708
288	1.605148522
289	1.601707071
290	1.599828295
291	1.596843319
292	1.593990274
293	1.590941115
294	1.588426888
295	1.586486704
296	1.584673715
297	1.582519703
298	1.579643978
299	1.576770953
300	1.575404085
301	1.573570907
302	1.57094086
303	1.569162568
304	1.56835172
305	1.565556006
306	1.563150867
307	1.561906298
308	1.558091356
309	1.555114476
310	1.553720404
311	1.55065285
312	1.547565911
313	1.545358922
314	1.542768247
315	1.540492145
316	1.538001853
317	1.534960486
318	1.533293925
319	1.530784035
320	1.529751717
321	1.527956071
322	1.525324735
323	1.524566657
324	1.522725089
325	1.521104525
326	1.518905289
327	1.516211136
328	1.514393613
329	1.512444297
330	1.511105853
331	1.509619752
332	1.50865999
333	1.506821944
334	1.505416396
335	1.503353831
336	1.500455458
337	1.498098469
338	1.496588562
339	1.493766553
340	1.490842368
341	1.48813879
342	1.486278368
343	1.484034752
344	1.481428917
345	1.480381137
346	1.47786576
347	1.476875505
348	1.474552802
349	1.47347751
350	1.472349896
351	1.469863484
352	1.467687736
353	1.46613565
354	1.463795532
355	1.463118144
356	1.461921768
357	1.459830023
358	1.457740243
359	1.456338579
360	1.454894681
361	1.453542265
362	1.451436513
363	1.449190777
364	1.447540922
365	1.445543923
366	1.442375704
367	1.440645688
368	1.439686761
369	1.438330324
370	1.436456312
371	1.434479718
372	1.432877865
373	1.431573828
374	1.430505653
375	1.428765872
376	1.425281515
377	1.423597182
378	1.421381484
379	1.418484447
380	1.417011284
381	1.415157557
382	1.413453997
383	1.412560286
384	1.409838893
385	1.408838175
386	1.405576421
387	1.404547966
388	1.402840867
389	1.401035778
390	1.398907113
391	1.39756949
392	1.395548523
393	1.392946127
394	1.391514316
395	1.389893577
396	1.388296457
397	1.387446185
398	1.386204295
399	1.383316633
400	1.382181243
401	1.380426058
402	1.379445859
403	1.378608258
404	1.376022639
405	1.373965908
406	1.372599302
407	1.370693094
408	1.368872956
409	1.367715321
410	1.366623563
411	1.364417117
412	1.362998492
413	1.36165497
414	1.359370773
415	1.358013245
416	1.356850206
417	1.354444289
